"40","Au sommet !","Voilà un petit endroit qui ne manque ni d'originalité, ni de saveurs. On passerait devant sans s'en apercevoir... Et pourtant ! Le coup d'oeil n'incite pas vraiment à y entrer car l'endroit ne ""paye pas de mine"", mais oser franchir le pas de la porte..."
"50","Acceuil chaleureux et dégustation merveilleuse","On est arrivé à deux (dont une personne en fauteuil roulant) et malgré la marche à l'entrée et une salle un peu serrée, les propriétaires étaient super sympa et prêts à nous aider.
On a très bien mangé à un prix fixe. On a régalé..."
"40","Jolie soirée à deux","La carte très bien expliquée permet de se faire une bonne idée des plats aux noms compliquée ! Nourriture très bonne, et produits frais. Les plats épicés ne le sont pas trop !
Service très agréable.
Je recommande et je reviendrais!"
"50","Une bonne adresse pour découvrir la nourriture Népalaise","Un bon restaurant proposant des plats de qualité, riches en saveur, pour un prix très raisonnable. L'accueil, le service, l'ambiance sont simples et agréables."
"50","Repas honnête, généreux et plein de saveurs","Voyage dans le passé: cela faisait 16 ans que nous avions passé 1 mois au Népal, il fallait ce soir raviver un peu ces bons moments.
Le Katmandou nous a comblé pour tout:
- accueil formidable avec un patron gentil, professionnel et attachant
- cuisine..."
"50","Très bon, frais et service adorable","Repas indien népalais très bon, frais, copieux.2eme fois que je viens et le service est toujours adorable, seul bémol, il faisait très chaud et au 2ème étage c'est vite chaud malgré la clim en bas."
"50","Restaurant de qualité","Je recommande, très bon restaurant, les plats sont excellents et de qualité, personnelle très agréable et respectueux"
"40","Adresse à rztenir","Accueil très agréable
Service efficace
Décoration type campagnard modeste.
Spécialité cuisse de grenouille : un régale
Très bonne cuisson et très bonne persillade
Le gratin dauphinois est à tomber...."
"50","Super soirée ","Une super soirée - nous avons découvert ce restaurant au hasard . La terrasse ! En octobre était un luxe - bien mangé bien bu ! Un patron très sympathique - faites lui confiance , ses propositions sont celles d un passionné -"
"50","Excellente découverte ","Très bon moment passé à la marmite Dauphinoise.... Assiette des alpages généreuse et gourmande, gâteau de foie excellent. Belles grenouilles servies en bonne quantité et poulet aux écrevisses bien présenté et très bon. Personnel très sympathique et efficace, absolument rien à redire sinon de vous..."
"50","Très bien !","Une bonne découverte ! Un cadre calme, des plats généreux en quantité et de qualité, Un gratin dauphinois excellent,personnel aimable et souriant...
En bref rien ne manquait nous nous sommes régalés et nous reviendrons sûrement !"
"50","Très belle découverte ","Ce restaurant renommé de Grenoble est simplement parfait.
Le service est très agréable et toute l’équipe sympathique.
La carte est assez variée à des prix tout à fait raisonnables.
Les plats sont juste excellents.
Peut être le seul point négatif sur les desserts, où il..."
"40","Miam","Jolie petit resto dans le quartier le plus animé de Grenoble. L’accueil est très sympathique et les plats fameux! Le St Marcelin chaud est délicieux. Le tarifs des entres et plat sont correct mais les dessert un peu cher"
"50","Une excellente découverte !","Cet établissement est très agréable, nous y avons été très bien accueilli.
Les plats (pintade romarin et cuisses de grenouilles) sont particulièrement bons. Les prix sont tout à fait corrects.
Concernant le thé, pour 4€ j’aurais attendu un sachet moins commun que Lipton (Damman ou..."
"40","Aussi bon que le gratin de Ginette","Nous nous sommes régalés. Merci pour l accueil chaleureux et la cuisine de très bonne qualité. Les grenouilles étaient excellentes mais le must c était le gratin dauphinois pratiquement aussi bon que celui de Ginette(maman). L assiette des alpages est aussi délicieuse. Malheureusement en dessert,..."
"40","SOURIRE ET QUALITE","accueil très chaleureux dans un joli restaurant.Cuisine traditionnelle avec une touche de la région.Plats très bien cuisinés sans taper dans le gastronomique.J'ai très bien déjeuné
pour un prix raisonnable.J'y reviendrais avec plaisir."
"50","Quelle belle expérience","Nous avons réservé à 12h30 pour 13h, aucun problème. À l'arrivée un accueil des plus chaleureux et agréable, un joli petit restaurant, calme et propre. Nous nous sommes régalés d'une cuisine traditionnelle et raffinée, plat copieux et des cuisses de grenouilles extra !! Le tout..."
"50","Je conseille vivement","Accueil sympathique et surtout des calzones qui sont vraiment a découvrir. Je pense qu'il est préférable de réserver pour éviter une mauvaise surprise"
"30","Pizzas moyennes","Je me faisais une joie de manger une bonne pizza sur les quais de Grenoble.
Nous avons été déçus, correctes sans plus et si petites... On avait encore faim après.
On a du coup prix un dessert en théorie copieux, le tiramisu.
Raté encore une..."
"30","Décevant","Rien de sensationnel accueil moyen et les plats pizza et pâtes très moyennes.
Nous avons l’impression que le cuisinier ne travaille pas avec amour!
C’est dommage !!!"
"50","Charmée bout de little Italie ","Une très belle découverte italienne, le cadre très atypique, une deco assez rustique mais qui colle bien au cadre. Le pizzaïolo prépare sous nos yeux. La serveuse nous met à l’aise très vite, d’un naturel évident. Une pizza qui a du caractère, pâte fine, des..."
"40","Petit restaurant agréable ","Dans le quartier italien de Grenoble, ce petit restaurant est très sympa. La serveuse qui gère seule l’ensemble du service est sympathique et souriante.
La carte des pizzas est variée et elles sont toutes bonnes pour un prix correct !"
"50","Parfait juste parfait","Que dire.
Un accueil souriant et agréable
Une serveuse à votre écoute
Le patron au fourneaux qui sort des pizzas de rêve
Des calzones craquante au dessus et moelleuses à l intérieur
Bref il n y a qu un regret ne pas y revenir plus..."
"50","Je recommande!","Ces pizzas sont tout simplement à tomber par terre! De plus, lla serveuse était très gentille et compréhensive."
"50","Accueil et pizzas au top","La gentillesse de la serveuse et du patron et la qualité des pizzas cuites au feu de bois et garnies avec des produits ultra frais en font notre pizzeria préferée à Grenoble."
"50","Excellent","Une équipe au top ! Une préparation sur mesure, le chef prend soin de chaque client. La bella serviseuse est top, elle répond avec plaisir à chaque questions ou demandes particulières...
Oui il y a un peu d’attente aux heures « fatidiques » mais ils sont certainement..."
"30","Pas terrible","je me suis rendu dans cette pizzeria le 21 aout 2018 soit disant la meilleur pizzeria de Grenoble ?
tout d'abord accueil pas terrible juste un petit bonjour on nous installe , nous donne la carte 5 minutes après prise de commande 2 pizzas .........................."
"50","Extraordinaire 😊","il y a 29 minutes
Un accueil chaleureux, des plats somptueux et délicieux Le patron Est un homme haut en couleur qui vous explique avec humour et bienveillance comment sublimer votre voyage culinaire. Le vin blanc libanais est Juste un délice qui vous accompagne lors..."
"50","Au top!","Plats délicieux, restaurant sympa. Service au top, avec une famille qui vous accueille et qui malgré le grand nombre de client prend le temps de vous expliquer les plats et leur dégustation. Encore merci pour ce régal!!! Thank you! Gracie! Mersi plau ! Milechker ......"
"50","Des saveurs variées, des produits frais: un régal!","Nous avons mangé en groupe ( neuf personnes ) dans ce restaurant , le soir ; accueil sympathique de notre serveur , qui nous explique en quoi consiste la formule « mezze » végétariens et non végétariens à partager , nous informe sur leur contenu et nous..."
"50","Du luxe pour les papilles !","Tout simplement LE meilleur libanais de Grenoble ! Incontournable ! C’est simple : on retrouve les goûts du Liban ! Un raffinement incroyable : ça explose en bouche pour le plus grand bonheur de nos papilles ! Et donc pour y manger il faut réserver..."
"50","Meilleur libanais de Grenoble","La place du cèdre de meilleur libanais de Grenoble est bien méritée !
La cuisine et le service sont au top ! On vous explique ce que contient chaque plat, comment le manger, dans quel ordre, c’est très appréciable !
Merci encore au serveur qui..."
"40","Repas du midi","Nous avons passé un bon moment. Le restaurant est décoré sobrement. Accueil souriant. Nous avons goûté les assiettes découverte a 11.50€. Il y a tout un panel de produits a goûter : taboulé libanais, caviar d'aubergine ... Et des produits chauds également.
Nous avons bien..."
"30","Bonne table mais salle mal chauffée ","Nous nous sommes régalés ce midi juste avec l’assiette découverte. Serveur très agréable dommage que la salle soit très mal chauffée"
"50","Super moment ","Belle surprise ! On ne connaissait pas la nourriture libanaise et ça a été une belle découverte. Un régal et les végétariens n'auront aucun mal à trouver de quoi se régaler.
En plus d'avoir bien mangé, nous avons passé un super moment. La bonne humeur..."
"40","Super","Super restaurant avec une déco intéressante et des plats généreux. Un vrai goût du Liban. Je reviendrai"
"50","Merci pour le voyage :-)","C'est mon premier restaurant libanais, mais je crois que la barre est haute maintenant pour faire mieux.
Déjà, merci pour conseil du serveur qui nous a suggéré les mezzés pour mieux appréhender la cuisine libanaise. Cela nous a permis de découvrir cette cuisine inventive et..."
"40","Une très bonne soirée ","Habitué depuis plusieurs années de ce restaurant, c’est avec grand plaisir que nous avons repassé une soirée là-bas.
L’assortiment de plats est toujours aussi bon et nous avons passé un très bon moment chez Namastay"
"50","Excellent as always / excellent comme d’hab","On apprécie y aller de temps à autre les vendredis soirs. Toujours un plaisir d’y être accueillis même si nous avons omis de réserver.
Une cuisine indienne de New Delhi.
Les plats végétariens sont délicieux, saveur goûteuse, aromatique sans que les épices couvrent le goût...."
"50","Super comme toujours ","Je suis étonnée des commentaires qui disent que le resto est en baisse moi j’ai trouvé ça très bon comme d’habitude. Le patron très gentil comme toujours. Il y avait un peu d’attente en effet mais c’est bon signe que ce soit plein un samedi..."
"20","L'ombre de lui même","Pour ce qui on connu le restaurant il y a quelques années , le changement est réellement perceptible, la qualité n'est plus au rendez-vous et l'accueil laisse a désirer, dommage ."
"20","décadence","j'ai connu ce restaurant il y a 30 ans ....mais ce n'est plus ça ....attente pour la commande....Poulet tandoori sans légumes et bien sec , pareillement pour la galette nam ...le riz est délicieux mais ça fais juste pour un restaurant que j'ai connu en..."
"20","Etrange","Un personnel extrêmement intrusif... J'ai tout de même apprécié mon plat contrairement aux deux personnes qui ont mangé avec moi."
